LOAD_ZONE,lz_cost_multipliers,existing_local_td,local_td_annual_cost_per_mw,load_zone_scenario_id
01-hermosillo,1,3260.2742776470586,12336.001818211342,1
02-cananea,1,826.90084105882352,16898.475064139569,1
03-obregon,1,1602.5972776470589,18323.876848014716,1
04-los_mochis,1,1390.0868517647059,18965.594515996228,1
05-culiacan,1,1568.0538000000001,14038.968060378163,1
06-mazatlan,1,753.34311235294115,13935.262732481542,1
07-juarez,1,1812.0361188235293,9465.6643180741921,1
08-moctezuma,1,1090.2733367058822,21032.43248133278,1
09-chihuahua,1,2981.2381270588235,20815.126728481122,1
10-durango,1,740.13687188235292,30117.830835106946,1
11-laguna,1,1793.4503705882355,12858.138717942071,1
12-rio_escondido,1,792.49400023529427,42748.306710191566,1
13-nuevo_laredo,1,597.19999788235293,20817.554216970217,1
14-reynosa,1,1538.6170000000002,8393.7539271629194,1
15-matamoros,1,718.34042458823524,11584.880597759438,1
16-monterrey,1,10271.099903529413,3501.9698760294496,1
17-saltillo,1,2790.9953976470588,6938.5888439999053,1
18-valles,1,703.64741470588228,13376.431871524161,1
19-huasteca,1,1291.4831847058824,11871.359173924529,1
20-tamazunchale,1,427.96249599999999,46487.232095429506,1
21-guemez,1,549.08281776470596,19324.037371034578,1
22-tepic,1,975.01611458823527,23247.514721582098,1
23-guadalajara,1,4058.5910164705883,11155.075003660986,1
24-aguascalientes,1,3243.4379917647061,17712.251013624336,1
25-san_luis_potosi,1,1951.9918188235295,11793.038775070905,1
26-salamanca,1,2175.1653000000001,9083.5818997739934,1
27-manzanillo,1,802.44870494117652,17582.634714487438,1
28-carapan,1,1375.1013752941176,10801.024817051508,1
29-lazaro_cardenas,1,1191.2832517647059,9702.9720037607622,1
30-queretaro,1,4192.2441988235296,10988.707928929603,1
31-central,1,16853.003905882353,6854.4956644740896,1
32-poza_rica,1,1295.7466964705884,27427.986630199957,1
33-veracruz,1,1415.0462517647061,14057.909918972489,1
34-puebla,1,4370.887270588235,4213.3772872352583,1
35-acapulco,1,1249.6004152941177,11322.838861278091,1
36-temascal,1,1651.2365976470592,16186.020587669029,1
37-coatzacoalcos,1,1331.167485882353,9805.5312690866704,1
38-tabasco,1,2237.3103670588239,17830.191811272067,1
39-grijalva,1,1310.6810729411764,21370.389351385496,1
40-ixtepec,1,514.58678670588233,15344.537402227752,1
41-lerma,1,741.08186752941174,13217.60396032027,1
42-merida,1,1444.3941223529412,13920.234163744224,1
43-cancun,1,1776.4218105882351,10096.843099890501,1
44-chetumal,1,217.66966964705878,55465.253266357286,1
45-cozumel,1,102.78995797647059,3043.9581664786879,1
46-tijuana,1,1503.5508176470587,20764.115534354587,1
47-ensenada,1,507.96941764705878,36.2422785282,1
48-mexicali,1,2694.5967376470589,3525.9402644722441,1
49-san_luis_rio_colorado,1,582.00541694117646,7277.2816370177434,1
50-villa_constitucion,1,82.436756635294131,273543.80539151782,1
51-la_paz,1,463.11081964705875,17390.191174099724,1
52-los_cabos,1,604.48274670588239,3960.2504007850121,1
53-mulege,1,84.024251858823519,15000.829103003107,1
01-hermosillo,1,3260.2742776470586,939.32163051264081,2
02-cananea,1,826.90084105882352,948.3690098006058,2
03-obregon,1,1602.5972776470589,986.35227273010514,2
04-los_mochis,1,1390.0868517647059,913.5995210015459,2
05-culiacan,1,1568.0538000000001,962.54483286887137,2
06-mazatlan,1,753.34311235294115,1017.7040145612046,2
07-juarez,1,1812.0361188235293,1053.4252255304764,2
08-moctezuma,1,1090.2733367058822,948.31789876486971,2
09-chihuahua,1,2981.2381270588235,1201.561230448704,2
10-durango,1,740.13687188235292,1139.6645588823585,2
11-laguna,1,1793.4503705882355,1371.2469779190319,2
12-rio_escondido,1,792.49400023529427,1088.9009677082856,2
13-nuevo_laredo,1,597.19999788235293,1229.1978986457566,2
14-reynosa,1,1538.6170000000002,1050.8214616984033,2
15-matamoros,1,718.34042458823524,1241.7214098882853,2
16-monterrey,1,10271.099903529413,1013.9705083861032,2
17-saltillo,1,2790.9953976470588,1012.7082178804491,2
18-valles,1,703.64741470588228,1029.5121555770111,2
19-huasteca,1,1291.4831847058824,1191.117045261542,2
20-tamazunchale,1,427.96249599999999,1013.9705083395105,2
21-guemez,1,549.08281776470596,938.46252097052343,2
22-tepic,1,975.01611458823527,1260.2516486162981,2
23-guadalajara,1,4058.5910164705883,1526.0819309954929,2
24-aguascalientes,1,3243.4379917647061,1305.002461720188,2
25-san_luis_potosi,1,1951.9918188235295,1215.911645835535,2
26-salamanca,1,2175.1653000000001,1171.4039012242051,2
27-manzanillo,1,802.44870494117652,1354.4850358620704,2
28-carapan,1,1375.1013752941176,1288.6282512655098,2
29-lazaro_cardenas,1,1191.2832517647059,1529.2731727462483,2
30-queretaro,1,4192.2441988235296,1238.0683243297597,2
31-central,1,16853.003905882353,1316.4123057747609,2
32-poza_rica,1,1295.7466964705884,1285.8454768249778,2
33-veracruz,1,1415.0462517647061,1196.9760410571353,2
34-puebla,1,4370.887270588235,1252.4738204045273,2
35-acapulco,1,1249.6004152941177,1194.9876069708018,2
36-temascal,1,1651.2365976470592,1314.5222952859131,2
37-coatzacoalcos,1,1331.167485882353,1419.6495759958445,2
38-tabasco,1,2237.3103670588239,1118.592578261743,2
39-grijalva,1,1310.6810729411764,1089.0953113481612,2
40-ixtepec,1,514.58678670588233,1139.5326680992855,2
41-lerma,1,741.08186752941174,1067.1653202665511,2
42-merida,1,1444.3941223529412,1199.5803097023281,2
43-cancun,1,1776.4218105882351,1034.1054462717736,2
44-chetumal,1,217.66966964705878,1074.76620791389,2
45-cozumel,1,102.78995797647059,1086.3329617104362,2
46-tijuana,1,1503.5508176470587,1052.5459849790541,2
47-ensenada,1,507.96941764705878,925.36120752564227,2
48-mexicali,1,2694.5967376470589,1011.1642185858678,2
49-san_luis_rio_colorado,1,582.00541694117646,982.46256868635294,2
50-villa_constitucion,1,82.436756635294131,1234.0587510668452,2
51-la_paz,1,463.11081964705875,902.51652972557713,2
52-los_cabos,1,604.48274670588239,785.6236643563268,2
53-mulege,1,84.024251858823519,723.66778388298849,2
