LOAD_ZONE,balancing_area,lat,lon
01-hermosillo,04-noroeste,29.0894152,-110.9612377
02-cananea,04-noroeste,30.9826994,-110.210118424
03-obregon,04-noroeste,27.71198065,-109.902207436
04-los_mochis,04-noroeste,25.9240491,-109.207539489
05-culiacan,04-noroeste,24.8017193,-107.3930506
06-mazatlan,04-noroeste,23.2234374,-106.4161918
07-juarez,05-norte,31.45222745,-106.449725486
08-moctezuma,05-norte,29.748798,-109.707885749
09-chihuahua,05-norte,28.938764,-106.384451067
10-durango,05-norte,23.9112721,-104.919810462
11-laguna,05-norte,23.9112721,-104.919810462
12-rio_escondido,06-noreste,28.7019602,-100.5219221
13-nuevo_laredo,06-noreste,27.474975,-99.67674305
14-reynosa,06-noreste,25.8366364,-98.3708593043
15-matamoros,06-noreste,25.554056,-97.4911492545
16-monterrey,06-noreste,25.63978365,-100.293101529
17-saltillo,06-noreste,25.4192971,-100.9945067
18-valles,06-noreste,22.0757924,-99.0733756728
19-huasteca,06-noreste,22.84361195,-99.3299094098
20-tamazunchale,06-noreste,21.24350145,-98.7968694967
21-guemez,06-noreste,23.88563585,-99.0011401301
22-tepic,03-occidental,21.5044414,-104.8946666
23-guadalajara,03-occidental,20.676143,-103.3469981
24-aguascalientes,03-occidental,21.8475186,-102.305481811
25-san_luis_potosi,03-occidental,22.5000001,-100.5
26-salamanca,03-occidental,20.65232455,-101.166841468
27-manzanillo,03-occidental,19.12765695,-104.28412553
28-carapan,03-occidental,19.69746505,-102.226759638
29-lazaro_cardenas,03-occidental,18.08264435,-102.482714984
30-queretaro,03-occidental,20.72589685,-100.485684061
31-central,01-central,21.511359,-103.37053697
32-poza_rica,02-oriental,20.53765745,-97.4451246999
33-veracruz,02-oriental,19.2002198,-96.1385687
34-puebla,02-oriental,19.043671,-98.1987273
35-acapulco,02-oriental,16.95879645,-99.695133471
36-temascal,02-oriental,17.0965868,-96.720781469
37-coatzacoalcos,02-oriental,18.1367924,-94.3777590646
38-tabasco,02-oriental,21.9396812,-102.924997174
39-grijalva,02-oriental,16.74521845,-93.1418085426
40-ixtepec,02-oriental,20.04011975,-97.6485394251
41-lerma,07-peninsular,19.3263632,-99.4600519176
42-merida,07-peninsular,20.9671405,-89.6236999
43-cancun,07-peninsular,20.98154135,-87.0750071863
44-chetumal,07-peninsular,19.6203389,-89.0052502
45-cozumel,07-peninsular,20.4317585,-86.920274466
46-tijuana,08-baja_california,32.5008626,-116.9641656
47-ensenada,08-baja_california,30.1927661,-115.231462478
48-mexicali,08-baja_california,32.6200699,-115.4440697
49-san_luis_rio_colorado,08-baja_california,31.9939146,-114.290773042
50-villa_constitucion,09-baja_california_sur-la_paz,25.44713025,-111.708713081
51-la_paz,09-baja_california_sur-la_paz,24.10843275,-110.518542713
52-los_cabos,09-baja_california_sur-la_paz,23.27184805,-109.689768313
53-mulege,10-baja_california_sur-mulege,27.20305225,-113.320727268
